/work3/soeba/HALOS/halos/lib/python3.8/site-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and will be removed in 0.15, please use 'weights' instead.
  warnings.warn(
/work3/soeba/HALOS/halos/lib/python3.8/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and will be removed in 0.15. The current behavior is equivalent to passing `weights=VGG19_Weights.IMAGENET1K_V1`. You can also use `weights=VGG19_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
Training Epoch 1
Epoch 1, batch no. 46747, gen. loss: 0.9921031594276428, disc. loss: 0.35244303941726685
Epoch 1, batch no. 46747, gen. loss: 0.9516043066978455, disc. loss: 0.5490879416465759
Epoch 1, batch no. 46747, gen. loss: 0.8447844386100769, disc. loss: 0.37397676706314087
Epoch 1, batch no. 46747, gen. loss: 0.9666394591331482, disc. loss: 0.36131376028060913
Epoch 1, batch no. 46747, gen. loss: 0.8683850169181824, disc. loss: 0.34072741866111755
Epoch 1, batch no. 46747, gen. loss: 0.9256924986839294, disc. loss: 0.33643248677253723
Epoch 1, batch no. 46747, gen. loss: 0.8711122870445251, disc. loss: 0.33403608202934265
Epoch 1, batch no. 46747, gen. loss: 0.8693702220916748, disc. loss: 0.3321729600429535
Epoch 1, batch no. 46747, gen. loss: 0.885653555393219, disc. loss: 0.33637672662734985
Epoch 1, batch no. 46747, gen. loss: 0.935056746006012, disc. loss: 0.33418840169906616
Epoch 1, batch no. 46747, gen. loss: 0.8016342520713806, disc. loss: 0.33250510692596436
Epoch 1, batch no. 46747, gen. loss: 0.89894700050354, disc. loss: 0.4044501781463623
Epoch 1, batch no. 46747, gen. loss: 0.9636371731758118, disc. loss: 0.36610573530197144
Epoch 1, batch no. 46747, gen. loss: 0.9929898977279663, disc. loss: 0.3972172737121582
Epoch 1, batch no. 46747, gen. loss: 0.8485933542251587, disc. loss: 0.3377936780452728
Epoch 1, batch no. 46747, gen. loss: 0.8664094805717468, disc. loss: 0.3448677659034729
Epoch 1, batch no. 46747, gen. loss: 0.9474104046821594, disc. loss: 0.3380753695964813
Epoch 1, batch no. 46747, gen. loss: 0.9301551580429077, disc. loss: 0.33240067958831787
Epoch 1, batch no. 46747, gen. loss: 0.8780444860458374, disc. loss: 0.33719584345817566
Epoch 1, batch no. 46747, gen. loss: 0.821837306022644, disc. loss: 0.33120638132095337
Epoch 1, batch no. 46747, gen. loss: 0.8848003149032593, disc. loss: 0.33325400948524475
Epoch 1, batch no. 46747, gen. loss: 0.8537062406539917, disc. loss: 0.3291131556034088
Epoch 1, batch no. 46747, gen. loss: 0.8938450217247009, disc. loss: 0.3286990523338318
Epoch 1, batch no. 46747, gen. loss: 0.8056970834732056, disc. loss: 0.33134719729423523
Epoch 1, batch no. 46747, gen. loss: 0.7709384560585022, disc. loss: 0.3281860947608948
Epoch 1, batch no. 46747, gen. loss: 0.8235607743263245, disc. loss: 0.3293085992336273
Epoch 1, batch no. 46747, gen. loss: 0.8881652355194092, disc. loss: 0.32976919412612915
Epoch 1, batch no. 46747, gen. loss: 0.8442752361297607, disc. loss: 0.40399160981178284
Epoch 1, batch no. 46747, gen. loss: 0.7846218943595886, disc. loss: 0.33083879947662354
Epoch 1, batch no. 46747, gen. loss: 0.8609013557434082, disc. loss: 0.33664923906326294
Epoch 1, batch no. 46747, gen. loss: 0.8435331583023071, disc. loss: 0.33343005180358887
Epoch 1, batch no. 46747, gen. loss: 0.8089411854743958, disc. loss: 0.3458069860935211
Epoch 1, batch no. 46747, gen. loss: 0.915427565574646, disc. loss: 0.3366803228855133
Epoch 1, batch no. 46747, gen. loss: 1.2649800777435303, disc. loss: 0.5608891248703003
Epoch 1, batch no. 46747, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 46747, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 46747, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 46747, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 46747, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 46747, gen. loss: nan, disc. loss: nan
Epoch 1, batch no. 46747, gen. loss: nan, disc. loss: nan
